simple_router,5,5,3,3,5,1,1,5,2,2,5,3,3
simple_pipeline,2,2,1,1,1,0,0,2,0,0,2,1,1
Edge_Detector,1,0,0,0,0,0,0,0,0,0,1,0,0
delay,3,2,0,0,2,1,1,1,1,1,2,1,1
host_interface,12,11,5,5,10,1,1,12,3,3,12,4,4
Gray_To_Binary,1,1,0,0,1,0,0,1,0,0,1,0,0
control_unit,4,4,4,4,4,3,3,4,1,1,4,1,1
Parallel_In_Serial_Out_Shift_Reg,1,0,0,0,0,0,0,0,0,0,0,0,0
SEVEN,2,2,0,0,1,0,0,2,0,0,2,0,0
second_largest,1,1,1,1,1,1,1,1,1,1,1,1,1
delay2,1,1,0,0,1,1,1,1,1,1,1,0,0
VGA,1,1,0,0,1,1,1,1,0,0,1,0,0
BusArbiter,10,0,0,0,0,0,0,0,0,0,0,0,0
fifo,2,2,1,1,2,0,0,2,0,0,2,0,0
PWM,1,1,0,0,1,0,0,1,0,0,1,0,0
register,2,2,0,0,2,2,2,2,0,0,2,0,0
reversing_bits,1,0,0,0,0,0,0,0,0,0,1,1,1
or1200_operandmuxes,7,3,2,2,3,2,2,1,1,1,1,0,0
a25_wishbone,6,5,2,2,5,5,5,6,5,5,6,4,4
PSGBusArb,27,16,15,15,25,25,25,22,19,19,18,15,15
apb,6,6,6,6,6,2,2,6,2,2,4,0,0
lcd,1,1,0,0,1,0,0,1,0,0,0,0,0
arbiter,16,16,0,0,15,0,0,16,1,1,14,3,3
Ripple_Carry_Adder,1,1,1,1,1,1,1,1,1,1,1,1,1
Gray_Code_Counter,1,1,0,0,1,1,1,1,1,1,1,1,1
Programmable_Sequence_Detector,1,1,1,1,1,1,1,1,1,1,1,1,1
uartTrans,4,2,2,2,3,1,1,3,2,2,3,2,2
simple_req_ack,1,0,0,0,1,0,0,1,0,0,1,0,0
Flip_Flop_Array,3,3,2,2,3,1,1,3,3,3,2,2,2
APB_FSM_Controller,19,17,12,12,19,13,13,19,11,11,18,17,17
arb2,8,8,7,7,8,1,1,8,2,2,8,7,7
gray,1,0,0,0,0,0,0,1,1,1,1,0,0
module_i2c,7,5,5,5,7,0,0,7,3,3,7,4,4
uart_transmit,1,1,0,0,0,0,0,1,0,0,1,0,0
uartRec,7,7,6,6,6,5,5,6,5,5,7,5,5
or1200_if,11,7,2,2,8,5,5,10,3,3,9,4,4
i2c,1,1,0,0,0,0,0,1,0,0,1,0,0
or1200_ctrl,14,12,3,2,14,12,12,14,8,7,12,10,9
eth_rxstatem,34,29,18,18,33,25,25,31,24,24,32,28,28
ff,2,1,0,0,2,1,1,1,0,0,2,1,1
